Airport ID,Airport Name,Airport City,Airport Country
1,Goroka,Goroka,Papua New Guinea
2,Madang,Madang,Papua New Guinea
3,Mount Hagen,Mount Hagen,Papua New Guinea
4,Nadzab,Nadzab,Papua New Guinea
5,Port Moresby Jacksons Intl,Port Moresby,Papua New Guinea
6,Wewak Intl,Wewak,Papua New Guinea
7,Narsarsuaq,Narssarssuaq,Greenland
8,Nuuk,Godthaab,Greenland
9,Sondre Stromfjord,Sondrestrom,Greenland
10,Thule Air Base,Thule,Greenland
11,Akureyri,Akureyri,Iceland
12,Egilsstadir,Egilsstadir,Iceland
13,Hornafjordur,Hofn,Iceland
14,Husavik,Husavik,Iceland
15,Isafjordur,Isafjordur,Iceland
16,Keflavik International Airport,Keflavik,Iceland
17,Patreksfjordur,Patreksfjordur,Iceland
18,Reykjavik,Reykjavik,Iceland
19,Siglufjordur,Siglufjordur,Iceland
20,Vestmannaeyjar,Vestmannaeyjar,Iceland
21,Sault Ste Marie,Sault Sainte Marie,Canada
22,Winnipeg St Andrews,Winnipeg,Canada
23,Shearwater,Halifax,Canada
24,St Anthony,St. Anthony,Canada
25,Tofino,Tofino,Canada
26,Kugaaruk,Pelly Bay,Canada
27,Baie Comeau,Baie Comeau,Canada
28,Bagotville,Bagotville,Canada
29,Baker Lake,Baker Lake,Canada
30,Campbell River,Campbell River,Canada
31,Brandon Muni,Brandon,Canada
32,Cambridge Bay,Cambridge Bay,Canada
33,Nanaimo,Nanaimo,Canada
34,Castlegar,Castlegar,Canada
35,Miramichi,Chatham,Canada
36,Charlo,Charlo,Canada
37,Kugluktuk,Coppermine,Canada
38,Coronation,Coronation,Canada
39,Chilliwack,Chilliwack,Canada
40,Clyde River,Clyde River,Canada
41,Fairmont Hot Springs,Coral Harbour,Canada
42,Dawson City,Dawson,Canada
43,Burwash,Burwash,Canada
44,Princeton,Princeton,Canada
45,Deer Lake,Deer Lake,Canada
46,Dease Lake,Dease Lake,Canada
47,Dauphin Barker,Dauphin,Canada
48,Dawson Creek,Dawson Creek,Canada
49,Edmonton Intl,Edmonton,Canada
50,Arviat,Eskimo Point,Canada
51,Estevan,Estevan,Canada
52,Edson,Edson,Canada
53,Eureka,Eureka,Canada
54,Inuvik Mike Zubko,Inuvik,Canada
55,Iqaluit,Iqaluit,Canada
56,Fredericton,Fredericton,Canada
57,Forestville,Forestville,Canada
58,Flin Flon,Flin Flon,Canada
59,Fort Resolution,Fort Resolution,Canada
60,Fort Simpson,Fort Simpson,Canada
61,Kingston,Kingston,Canada
62,La Grande Riviere,La Grande Riviere,Canada
63,Gaspe,Gaspe,Canada
64,Geraldton Greenstone Regional,Geraldton,Canada
65,Iles De La Madeleine,Iles De La Madeleine,Canada
66,Hudson Bay,Hudson Bay,Canada
67,Dryden Rgnl,Dryden,Canada
68,Ulukhaktok Holman,Holman Island,Canada
69,Gjoa Haven,Gjoa Haven,Canada
70,Hamilton,Hamilton,Canada
71,St Hubert,Montreal,Canada
72,Hay River,Hay River,Canada
73,Halifax Intl,Halifax,Canada
74,Atikokan Muni,Atikokan,Canada
75,Pond Inlet,Pond Inlet,Canada
76,St Jean,St. Jean,Canada
77,Stephenville,Stephenville,Canada
78,Kamloops,Kamloops,Canada
79,Waterloo,Waterloo,Canada
80,Schefferville,Schefferville,Canada
81,Kindersley,Kindersley,Canada
82,Buttonville Muni,Toronto,Canada
83,Chapleau,Chapleau,Canada
84,Meadow Lake,Meadow Lake,Canada
85,Lloydminster,Lloydminster,Canada
86,Alert,Alert,Canada
87,Kelowna,Kelowna,Canada
88,Mayo,Mayo,Canada
89,Moose Jaw Air Vice Marshal C M Mcewen,Moose Jaw,Canada
90,Fort Mcmurray,Fort Mcmurray,Canada
91,Moosonee,Moosonee,Canada
92,Maniwaki,Maniwaki,Canada
93,Montreal Intl Mirabel,Montreal,Canada
94,Natashquan,Natashquan,Canada
95,Gatineau,Gatineau,Canada
96,Matagami,Matagami,Canada
97,Old Crow,Old Crow,Canada
98,Cold Lake,Cold Lake,Canada
99,High Level,High Level,Canada
100,Ottawa Macdonald Cartier Intl,Ottawa,Canada
101,Prince Albert Glass Field,Prince Albert,Canada
102,Peace River,Peace River,Canada
103,Southport,Portage-la-prairie,Canada
104,Pitt Meadows,Pitt Meadows,Canada
105,Pickle Lake,Pickle Lake,Canada
106,Port Menier,Port Menier,Canada
107,Peterborough,Peterborough,Canada
108,Prince Rupert,Prince Pupert,Canada
109,Fort Chipewyan,Fort Chipewyan,Canada
110,Muskoka,Muskoka,Canada
111,Quebec Jean Lesage Intl,Quebec,Canada
112,Red Deer Regional,Red Deer Industrial,Canada
113,Windsor,Windsor,Canada
114,Watson Lake,Watson Lake,Canada
115,Kenora,Kenora,Canada
116,Lethbridge,Lethbridge,Canada
117,Greater Moncton Intl,Moncton,Canada
119,Comox,Comox,Canada
120,Regina Intl,Regina,Canada
121,Thunder Bay,Thunder Bay,Canada
122,Grande Prairie,Grande Prairie,Canada
123,Yorkton Muni,Yorkton,Canada
124,North Battleford,North Battleford,Canada
125,Gander Intl,Gander,Canada
126,Sydney,Sydney,Canada
127,Quesnel,Quesnel,Canada
128,Resolute Bay,Resolute,Canada
129,Riviere Du Loup,Riviere Du Loup,Canada
130,Roberval,Roberval,Canada
131,Rocky Mountain House,Rocky Mountain House,Canada
132,Rankin Inlet,Rankin Inlet,Canada
133,Sudbury,Sudbury,Canada
134,Sherbrooke,Sherbrooke,Canada
135,Saint John,St. John,Canada
136,Fort Smith,Fort Smith,Canada
137,Nanisivik,Nanisivik,Canada
138,Summerside,Summerside,Canada
139,Sachs Harbour,Sachs Harbour,Canada
140,Cape Dorset,Cape Dorset,Canada
141,Thompson,Thompson,Canada
142,Trenton,Trenton,Canada
143,Timmins,Timmins,Canada
144,City Centre,Toronto,Canada
145,Tuktoyaktuk,Tuktoyaktuk,Canada
146,Pierre Elliott Trudeau Intl,Montreal,Canada
147,Repulse Bay,Repulse Bay,Canada
148,Hall Beach,Hall Beach,Canada
149,Rouyn Noranda,Rouyn,Canada
150,La Ronge,La Ronge,Canada
151,Vermilion,Vermillion,Canada
152,Qikiqtarjuaq,Broughton Island,Canada
153,Val D Or,Val D'or,Canada
154,Kuujjuaq,Quujjuaq,Canada
155,Norman Wells,Norman Wells,Canada
156,Vancouver Intl,Vancouver,Canada
157,Buffalo Narrows,Buffalo Narrows,Canada
158,Wiarton,Wiarton,Canada
159,Petawawa,Petawawa,Canada
160,Winnipeg Intl,Winnipeg,Canada
161,Wabush,Wabush,Canada
162,Williams Lake,Williams Lake,Canada
163,Wrigley,Wrigley,Canada
164,Canadian Rockies Intl,Cranbrook,Canada
165,Edmonton City Centre,Edmonton,Canada
166,Saskatoon J G Diefenbaker Intl,Saskatoon,Canada
167,Medicine Hat,Medicine Hat,Canada
168,Fort St John,Fort Saint John,Canada
169,Sioux Lookout,Sioux Lookout,Canada
170,Pangnirtung,Pangnirtung,Canada
171,Timiskaming Rgnl,Earlton,Canada
172,Prince George,Prince George,Canada
173,Terrace,Terrace,Canada
174,London,London,Canada
175,Abbotsford,Abbotsford,Canada
176,Whitehorse Intl,Whitehorse,Canada
177,North Bay,North Bay,Canada
178,Calgary Intl,Calgary,Canada
179,Smithers,Smithers,Canada
180,Fort Nelson,Fort Nelson,Canada
181,Penticton,Penticton,Canada
182,Charlottetown,Charlottetown,Canada
183,Taloyoak,Spence Bay,Canada
184,Victoria Intl,Victoria,Canada
185,Lynn Lake,Lynn Lake,Canada
186,Swift Current,Swift Current,Canada
187,Churchill,Churchill,Canada
188,Goose Bay,Goose Bay,Canada
189,St Johns Intl,St. John's,Canada
190,Kapuskasing,Kapuskasing,Canada
191,Armstrong,Armstrong,Canada
192,Mont Joli,Mont Joli,Canada
193,Lester B Pearson Intl,Toronto,Canada
194,Downsview,Toronto,Canada
195,Gore Bay Manitoulin,Gore Bay,Canada
196,Yellowknife,Yellowknife,Canada
197,Slave Lake,Slave Lake,Canada
198,Sandspit,Sandspit,Canada
199,Chris Hadfield,Sarnia,Canada
200,Port Hardy,Port Hardy,Canada
201,Whitecourt,Whitecourt,Canada
202,Sept Iles,Sept-iles,Canada
203,Teslin,Teslin,Canada
204,Greenwood,Greenwood,Canada
205,Faro,Faro,Canada
206,Fort Mcpherson,Fort Mcpherson,Canada
207,Blida,Blida,Algeria
208,Bou Saada,Bou Saada,Algeria
209,Soummam,Bejaja,Algeria
210,Houari Boumediene,Algier,Algeria
211,Tiska,Djanet,Algeria
212,Boufarik,Boufarik,Algeria
213,Reggane,Reggan,Algeria
214,Illizi Takhamalt,Illizi,Algeria
215,Ain Oussera,Ain Oussera,Algeria
216,Tamanrasset,Tamanrasset,Algeria
217,Jijel,Jijel,Algeria
218,Mecheria,Mecheria,Algeria
219,Relizane,Relizane,Algeria
220,Annaba,Annaba,Algeria
221,Mohamed Boudiaf Intl,Constantine,Algeria
222,Cheikh Larbi Tebessi,Tebessa,Algeria
224,Hassi R Mel,Tilrempt,Algeria
225,Bou Chekif,Tiaret,Algeria
226,Bou Sfer,Bou Sfer,Algeria
227,Tindouf,Tindouf,Algeria
228,Ech Cheliff,Ech-cheliff,Algeria
229,Tafaraoui,Oran,Algeria
230,Zenata,Tlemcen,Algeria
231,Es Senia,Oran,Algeria
232,Sidi Bel Abbes,Sidi Bel Abbes,Algeria
233,Ghriss,Ghriss,Algeria
234,Touat Cheikh Sidi Mohamed Belkebir,Adrar,Algeria
235,Biskra,Biskra,Algeria
236,El Golea,El Golea,Algeria
237,Noumerat,Ghardaia,Algeria
238,Oued Irara,Hassi Messaoud,Algeria
239,In Salah,In Salah,Algeria
240,Sidi Mahdi,Touggourt,Algeria
241,Laghouat,Laghouat,Algeria
242,Timimoun,Timimoun,Algeria
243,Ouargla,Ouargla,Algeria
244,In Amenas,Zarzaitine,Algeria
245,Cadjehoun,Cotonou,Benin
246,Ouagadougou,Ouagadougou,Burkina Faso
247,Bobo Dioulasso,Bobo-dioulasso,Burkina Faso
248,Kotoka Intl,Accra,Ghana
249,Tamale,Tamale,Ghana
