Route ID,Airline ID,Price,Time,Date,Num Total Seats,Num Reserved Seats,Departure Airport ID,Destination Airport ID
1,2548,643.91,19:23,2017-09-16,128,0,352,1486
2,1683,1153.25,11:17,2017-10-11,193,0,2429,2400
3,9531,294.41,11:38,2017-03-09,157,0,4029,6147
4,3000,779.19,11:24,2017-02-28,168,0,3136,2194
5,3000,548.11,12:46,2017-02-05,185,0,3093,3100
6,24,1355.29,22:42,2017-10-29,170,0,3585,3484
7,24,840.18,17:44,2017-08-09,160,0,3797,3448
8,24,232.23,9:01,2017-01-21,148,0,478,3830
9,2916,743.12,4:53,2017-02-26,163,0,1558,1678
10,2916,512.38,3:34,2017-09-27,126,0,1612,1678
11,\N,851.23,13:40,2016-12-12,134,0,1948,3533
12,9818,515.12,2:13,2016-12-03,199,0,1539,1074
13,4608,296.27,12:25,2017-07-15,144,0,3393,3179
14,4608,614.83,3:01,2017-10-28,121,0,3395,3394
15,4608,1070.37,10:14,2017-09-16,156,0,3399,3375
16,4608,313.91,6:04,2017-04-21,113,0,3383,3382
17,17885,445.55,12:25,2017-10-07,129,0,1824,3621
18,2548,660.52,10:38,2017-04-19,196,0,1626,342
19,2548,1319.18,6:44,2017-04-17,184,0,1555,342
20,2548,389.73,2:13,2016-12-06,114,0,1665,342
21,2548,1023.6,11:16,2017-10-03,190,0,3998,342
22,1623,356.1,21:04,2017-09-19,109,0,55,148
23,1623,550.53,13:43,2017-01-19,191,0,196,69
24,\N,222.87,12:10,2017-04-22,140,0,1767,1772
25,2850,321.34,10:23,2017-07-14,151,0,3131,3153
26,2850,1484.26,7:13,2017-10-21,135,0,3043,3042
27,2850,471.46,6:32,2016-12-14,170,0,3093,3040
28,2850,871.32,22:04,2017-11-07,137,0,3141,3066
29,2850,455.54,20:21,2017-11-01,175,0,3098,3043
30,2994,1033.07,8:57,2017-04-01,176,0,2370,2372
31,2354,1032.1,1:15,2017-06-01,121,0,32,196
32,2354,439.5,23:24,2017-02-09,168,0,41,5487
33,16726,1446.09,17:44,2017-10-23,109,0,3420,3411
34,16726,570.91,15:53,2017-06-30,101,0,5964,5967
35,16726,1286.78,17:14,2016-12-02,139,0,3693,7117
36,18944,1061.48,6:16,2017-10-23,167,0,2897,2896
37,1469,792.41,1:23,2017-06-01,172,0,4029,2987
38,1469,427.86,2:12,2017-04-06,134,0,4364,2975
39,1469,355.35,8:21,2017-05-18,178,0,2987,2960
40,1472,595.47,3:52,2017-01-05,158,0,6725,3693
41,2942,1255.71,15:34,2017-04-15,109,0,3369,3382
42,15999,1028.03,21:00,2017-10-26,147,0,3382,3391
43,15999,937.16,4:22,2016-12-11,127,0,3374,4144
44,15999,1182.14,16:30,2017-05-27,147,0,3379,4144
45,1629,730.97,16:26,2017-08-31,162,0,3448,3864
46,1629,203.96,10:09,2017-08-21,122,0,5737,3517
47,4691,1336.11,8:41,2016-12-18,131,0,2709,2732
48,1073,1300.51,4:52,2017-05-18,109,0,1735,1701
49,1073,295.36,16:06,2017-09-15,159,0,1735,1638
50,3000,1422.34,20:50,2017-04-24,167,0,3093,3008
51,3000,376.2,15:36,2017-03-27,147,0,3093,3023
52,3000,268.72,8:31,2017-11-06,115,0,2064,3153
53,3000,454.06,2:27,2017-09-15,150,0,3304,3131
54,96,1115.12,3:48,2016-12-31,111,0,1459,3941
55,1203,1215.56,11:48,2017-11-04,172,0,1399,1264
56,1392,1418.89,20:56,2017-03-18,188,0,\N,1187
57,2538,1251.71,5:21,2017-09-25,127,0,4029,3971
58,24,552.86,2:21,2017-07-23,171,0,2179,507
59,24,379.05,5:53,2017-06-11,130,0,3320,3322
60,24,882.75,7:23,2017-04-24,177,0,2709,3576
61,24,1167.23,7:57,2017-07-16,184,0,3876,3820
62,24,1205.43,18:05,2017-03-23,151,0,3876,3712
63,24,731.42,17:03,2016-12-07,176,0,3876,3642
64,24,652.12,17:11,2017-05-30,109,0,3876,3817
65,24,1071.18,8:18,2017-10-25,182,0,3876,3873
66,24,671.76,2:30,2017-04-13,192,0,3759,3462
67,24,277.05,12:01,2017-09-29,198,0,3322,3320
68,24,960.69,6:19,2017-01-01,113,0,3670,3682
69,24,462.01,9:56,2016-12-23,109,0,3670,3673
70,24,327.91,16:34,2017-04-24,123,0,3670,4049
71,24,574.2,5:57,2017-01-09,139,0,3670,3744
72,24,738.51,6:00,2017-01-27,165,0,3670,3708
73,24,751.53,5:47,2017-11-28,138,0,2564,3576
74,24,994.44,7:49,2017-09-19,185,0,3930,3670
75,24,617.22,14:58,2017-09-15,145,0,3712,3576
76,24,1302.63,16:06,2017-02-11,125,0,3697,3611
77,24,246.03,1:22,2017-08-02,152,0,3697,3626
78,24,1276.13,12:06,2016-12-11,106,0,3305,3304
79,24,486.69,4:39,2017-05-19,183,0,3576,1943
80,24,971.35,6:13,2017-10-23,127,0,3576,1779
81,24,1159.39,0:21,2017-02-05,193,0,3576,351
82,24,1208.28,4:28,2017-04-26,145,0,346,507
83,24,1490.85,12:28,2017-11-16,188,0,1826,3670
84,24,416.86,22:32,2017-05-05,199,0,1953,3576
85,24,536.68,21:26,2017-05-13,120,0,2279,3670
86,410,1240.51,11:53,2017-11-13,173,0,2965,2990
87,595,651.38,11:53,2017-06-06,100,0,248,273
88,\N,558.86,10:08,2017-04-28,127,0,5508,6728
89,\N,437.37,4:19,2017-07-21,145,0,146,62
90,\N,311.96,3:42,2017-07-22,190,0,3533,1944
91,4608,462.51,20:31,2017-11-08,146,0,3395,3384
92,4608,828.21,22:25,2017-07-20,191,0,3386,4120
93,4608,268.57,5:26,2017-01-22,119,0,3379,4097
94,4608,733.23,19:45,2017-10-15,133,0,3383,3395
95,29,313.32,23:39,2017-07-06,167,0,128,5498
96,2548,1126.19,10:31,2017-06-09,155,0,4309,345
97,2548,1048.19,21:04,2017-07-09,127,0,344,4322
98,2548,1090.11,7:46,2017-10-19,131,0,1322,344
99,2548,1055.14,12:36,2016-12-22,185,0,1200,344
