Airline,Airline ID,Takeoff Airport,Takeoff Airport ID,Destination Airport,Destination Airport ID,Codeshare,Stops,Equipment,price,time,date
2B,410,AER,2965,KZN,2990,,0,CR2,1295.42,00:00,2017-09-28
2B,410,AER,2965,KZN,2990,,0,CR2,1457.33,00:02,2017-01-15
2B,410,AER,2965,KZN,2990,,0,CR2,1291.17,04:32,2017-07-07
2B,410,AER,2965,KZN,2990,,0,CR2,1240.51,11:53,2016-11-02
2B,410,AER,2965,KZN,2990,,0,CR2,888.14,11:51,2017-09-27
2B,410,ASF,2966,KZN,2990,,0,CR2,796.35,02:35,2017-02-12
2B,410,ASF,2966,KZN,2990,,0,CR2,798.5,11:31,2017-01-13
2B,410,ASF,2966,KZN,2990,,0,CR2,1248.7,10:55,2017-03-27
2B,410,ASF,2966,KZN,2990,,0,CR2,1285.23,14:29,2017-06-21
2B,410,ASF,2966,KZN,2990,,0,CR2,872.53,19:00,2017-02-18
2B,410,ASF,2966,MRV,2962,,0,CR2,983.45,11:47,2017-04-28
2B,410,ASF,2966,MRV,2962,,0,CR2,238.28,03:25,2017-07-30
2B,410,ASF,2966,MRV,2962,,0,CR2,542.27,02:26,2016-12-20
2B,410,ASF,2966,MRV,2962,,0,CR2,382.76,04:25,2017-07-11
2B,410,ASF,2966,MRV,2962,,0,CR2,759.17,20:12,2017-05-03
2B,410,CEK,2968,KZN,2990,,0,CR2,495.4,07:30,2017-07-13
2B,410,CEK,2968,KZN,2990,,0,CR2,1247.88,06:02,2017-01-10
2B,410,CEK,2968,KZN,2990,,0,CR2,518.68,18:22,2017-02-14
2B,410,CEK,2968,KZN,2990,,0,CR2,374.93,14:14,2016-12-22
2B,410,CEK,2968,KZN,2990,,0,CR2,1386.05,00:56,2017-07-28
2B,410,CEK,2968,OVB,4078,,0,CR2,437.4,13:13,2017-02-28
2B,410,CEK,2968,OVB,4078,,0,CR2,664.46,23:20,2017-01-25
2B,410,CEK,2968,OVB,4078,,0,CR2,1335.32,15:45,2017-04-10
2B,410,CEK,2968,OVB,4078,,0,CR2,1391.15,03:27,2017-07-13
2B,410,CEK,2968,OVB,4078,,0,CR2,1484.54,14:30,2016-12-05
2B,410,DME,4029,KZN,2990,,0,CR2,1255.24,03:32,2017-07-09
2B,410,DME,4029,KZN,2990,,0,CR2,216.08,15:56,2016-11-25
2B,410,DME,4029,KZN,2990,,0,CR2,895.52,21:00,2017-08-25
2B,410,DME,4029,KZN,2990,,0,CR2,605.09,10:41,2017-06-12
2B,410,DME,4029,KZN,2990,,0,CR2,1382.46,17:22,2017-07-10
2B,410,DME,4029,NBC,6969,,0,CR2,1036.69,22:25,2017-04-09
2B,410,DME,4029,NBC,6969,,0,CR2,625.42,03:44,2017-05-31
2B,410,DME,4029,NBC,6969,,0,CR2,391.06,00:26,2017-01-20
2B,410,DME,4029,NBC,6969,,0,CR2,929.72,10:08,2017-06-04
2B,410,DME,4029,NBC,6969,,0,CR2,635.84,15:48,2016-12-21
2B,410,DME,4029,TGK,\N,,0,CR2,289.14,04:26,2016-12-06
2B,410,DME,4029,TGK,\N,,0,CR2,343.72,09:06,2016-11-07
2B,410,DME,4029,TGK,\N,,0,CR2,1483.98,17:08,2017-02-01
2B,410,DME,4029,TGK,\N,,0,CR2,573.51,14:48,2017-01-10
2B,410,DME,4029,TGK,\N,,0,CR2,706.56,01:26,2016-12-02
2B,410,DME,4029,UUA,6160,,0,CR2,1048.49,16:09,2017-02-27
2B,410,DME,4029,UUA,6160,,0,CR2,1298.24,20:44,2017-06-29
2B,410,DME,4029,UUA,6160,,0,CR2,761.07,03:53,2017-01-08
2B,410,DME,4029,UUA,6160,,0,CR2,1056.38,07:42,2017-07-10
2B,410,DME,4029,UUA,6160,,0,CR2,587.98,00:52,2017-07-10
2B,410,EGO,6156,KGD,2952,,0,CR2,1182.55,09:04,2017-08-22
2B,410,EGO,6156,KGD,2952,,0,CR2,867.66,01:11,2017-05-23
2B,410,EGO,6156,KGD,2952,,0,CR2,291.34,03:52,2017-06-22
2B,410,EGO,6156,KGD,2952,,0,CR2,1060.83,00:43,2017-02-07
2B,410,EGO,6156,KGD,2952,,0,CR2,1314.27,15:32,2017-01-03
2B,410,EGO,6156,KZN,2990,,0,CR2,1085.38,19:59,2017-05-30
2B,410,EGO,6156,KZN,2990,,0,CR2,531.31,20:15,2017-03-19
2B,410,EGO,6156,KZN,2990,,0,CR2,936.2,00:36,2017-03-23
2B,410,EGO,6156,KZN,2990,,0,CR2,715.57,21:06,2017-10-03
2B,410,EGO,6156,KZN,2990,,0,CR2,1286.47,09:02,2017-04-09
2B,410,GYD,2922,NBC,6969,,0,CR2,1216.2,22:11,2017-09-18
2B,410,GYD,2922,NBC,6969,,0,CR2,1457.94,00:52,2016-12-16
2B,410,GYD,2922,NBC,6969,,0,CR2,1254.27,16:41,2017-04-20
2B,410,GYD,2922,NBC,6969,,0,CR2,503.78,05:54,2017-10-10
2B,410,GYD,2922,NBC,6969,,0,CR2,756.42,09:36,2016-10-25
2B,410,KGD,2952,EGO,6156,,0,CR2,764.18,20:54,2017-07-22
2B,410,KGD,2952,EGO,6156,,0,CR2,1088.99,05:36,2017-07-25
2B,410,KGD,2952,EGO,6156,,0,CR2,846.07,17:23,2017-09-26
2B,410,KGD,2952,EGO,6156,,0,CR2,1187.17,00:59,2017-03-22
2B,410,KGD,2952,EGO,6156,,0,CR2,289.83,23:46,2016-11-17
2B,410,KZN,2990,AER,2965,,0,CR2,1419.63,12:20,2017-06-05
2B,410,KZN,2990,AER,2965,,0,CR2,854.53,11:39,2017-03-01
2B,410,KZN,2990,AER,2965,,0,CR2,1461.35,04:32,2017-04-16
2B,410,KZN,2990,AER,2965,,0,CR2,1192.5,11:09,2017-02-14
2B,410,KZN,2990,AER,2965,,0,CR2,568.24,16:59,2017-06-04
2B,410,KZN,2990,ASF,2966,,0,CR2,1307.5,20:01,2016-12-27
2B,410,KZN,2990,ASF,2966,,0,CR2,1318.58,17:22,2017-06-04
2B,410,KZN,2990,ASF,2966,,0,CR2,1134.53,08:21,2017-09-26
2B,410,KZN,2990,ASF,2966,,0,CR2,1320.5,05:15,2017-01-13
2B,410,KZN,2990,ASF,2966,,0,CR2,798.98,17:32,2017-03-21
2B,410,KZN,2990,CEK,2968,,0,CR2,871.23,13:25,2017-04-15
2B,410,KZN,2990,CEK,2968,,0,CR2,208.61,01:56,2017-01-17
2B,410,KZN,2990,CEK,2968,,0,CR2,609.77,18:47,2016-12-22
2B,410,KZN,2990,CEK,2968,,0,CR2,788.24,02:41,2017-07-13
2B,410,KZN,2990,CEK,2968,,0,CR2,1264.73,00:19,2017-07-09
